,2. Datum nesreče,3. Ura nesreče,4. Nadzornik prisoten,5. Zdravnik prisoten,6. Reševalec prisoten,7. Udeleženec A – LETNICA ROJSTVA,8. Udeleženec A – država,9. Udeleženec A – zvrst smučanja,10. Udeleženec A – ravnanje pred nesrečo,11. Udeleženec B – LETO rojstva,12. Udeleženec B – država,13. Udeleženec B – zvrst smučanja,14. Skica nesreče,15. Fotografija kraja nesreče,16. Posnetek kraja nesreče,17. Vreme,18. Vidljivost,19. Temperatura,20. Vrsta snega,21. Veter,22. Telesna poškodba
0,18.3.2016,08:30,TRUE,,TRUE,1943,Slovenija,Alpsko,10,1955,Slovenija,Alpsko,TRUE,TRUE,,,2,37,3,1,Hujša
1,19.1.2016,15:00,TRUE,,TRUE,1974,Slovenija,Alpsko,1,,,,TRUE,TRUE,,4,2,-5,9,1,Hujša
2,12.3.2016,11:30,TRUE,,TRUE,1978,Slovenija,Alpsko,1,,,,TRUE,,,1,2,5,7,1,Hujša
3,15.3.2016,13:00,TRUE,,TRUE,1957,Slovenija,Alpsko,1,,,,TRUE,TRUE,,5,2,4,9,1,Lažja
4,3.4.2016,11:00,TRUE,,TRUE,2005,Slovenija,Alpsko,12,,,,,,,1,2,9,11,1,Lažja
5,3.4.2016,14:00,TRUE,,TRUE,1994,Španija,Alpsko,1,,,,TRUE,TRUE,,1,2,9,12,1,Lažja
6,13.4.2016,10:00,TRUE,,TRUE,1980,Slovenija,Alpsko,15,,,,TRUE,TRUE,,1,2,6,11,1,Lažja
7,29.4.2016,08:00,TRUE,,TRUE,2006,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,-1,9,1,Lažja
8,28.4.2016,10:30,TRUE,,TRUE,2009,Slovenija,Alpsko,1,,,,,,,5,2,-5,8,1,Lažja
9,15.3.2014,,TRUE,TRUE,TRUE,1992,Slovenija,Alpsko,4,,,,TRUE,TRUE,,2,2,6,7,2,Lažja
10,15.3.2014,10:30,TRUE,,TRUE,1975,Slovenija,Alpsko,1,,,,TRUE,,,1,1,6,11,1,Lažja
11,31.3.2014,20:00,TRUE,,TRUE,2000,Slovenija,Alpsko,1,,,,TRUE,TRUE,,5,3,3,7,2,Lažja
12,24.2.2016,15:00,TRUE,,TRUE,1979,Slovenija,Alpsko,1,,,,,,,1,2,2,7,1,Lažja
13,22.2.2016,11:30,TRUE,,TRUE,1997,Madžarska,,1,,,,,,,1,2,6,7,1,Lažja
14,2.12.2015,10:00,TRUE,,TRUE,2004,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,1,3,7,1,Lažja
15,18.3.2016,10:00,TRUE,,TRUE,1944,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,3,8,1,Hujša
16,10.3.2016,15:30,TRUE,,TRUE,2004,Slovenija,Alpsko,21,,,,TRUE,TRUE,,1,2,3,1,1,Hujša
17,27.3.2016,,TRUE,,TRUE,2004,Slovenija,Alpsko,1,,,,TRUE,TRUE,,4,2,1,1,1,Lažja
